#frame monomer_traj1 monomer_traj2 monomer_traj3 monomer_moy standard_error popc_alone_traj1 popc_alone_traj2 popc_alone_traj3 popc_alone_moy standard_error
290 76.923 53.846 46.154 58.974 9.245 0.000 0.000 0.000 0.000 0.000
291 84.615 42.308 42.308 56.410 14.103 0.000 0.000 0.000 0.000 0.000
292 61.538 46.154 53.846 53.846 4.441 0.000 0.000 0.000 0.000 0.000
293 53.846 34.615 34.615 41.026 6.410 0.000 0.000 0.000 0.000 0.000
294 38.462 38.462 42.308 39.744 1.282 0.000 0.000 0.000 0.000 0.000
295 23.077 50.000 57.692 43.590 10.494 0.000 0.000 0.000 0.000 0.000
296 46.154 46.154 38.462 43.590 2.564 0.000 0.000 0.000 0.000 0.000
297 61.538 50.000 69.231 60.256 5.588 0.000 0.000 0.000 0.000 0.000
298 53.846 42.308 46.154 47.436 3.392 0.000 0.000 0.000 0.000 0.000
299 42.308 65.385 38.462 48.718 8.407 0.000 0.000 0.000 0.000 0.000
300 46.154 34.615 53.846 44.872 5.588 0.000 0.000 0.000 0.000 0.000
301 61.538 57.692 65.385 61.538 2.221 0.000 0.000 0.000 0.000 0.000
302 46.154 38.462 50.000 44.872 3.392 0.000 0.000 0.000 0.000 0.000
303 57.692 53.846 69.231 60.256 4.623 0.000 0.000 0.000 0.000 0.000
304 61.538 30.769 65.385 52.564 10.954 0.000 0.000 0.000 0.000 0.000
305 42.308 46.154 50.000 46.154 2.221 0.000 0.000 0.000 0.000 0.000
306 46.154 34.615 50.000 43.590 4.623 0.000 0.000 0.000 0.000 0.000
307 46.154 53.846 57.692 52.564 3.392 0.000 0.000 0.000 0.000 0.000
308 46.154 42.308 53.846 47.436 3.392 0.000 0.000 0.000 0.000 0.000
309 26.923 65.385 80.769 57.692 16.013 0.000 0.000 0.000 0.000 0.000
310 65.385 50.000 76.923 64.103 7.798 0.000 0.000 0.000 0.000 0.000
311 61.538 46.154 65.385 57.692 5.875 0.000 0.000 0.000 0.000 0.000
312 53.846 46.154 61.538 53.846 4.441 0.000 0.000 0.000 0.000 0.000
313 65.385 42.308 50.000 52.564 6.784 0.000 0.000 0.000 0.000 0.000
314 46.154 50.000 53.846 50.000 2.221 0.000 0.000 0.000 0.000 0.000
315 53.846 61.538 57.692 57.692 2.221 0.000 0.000 0.000 0.000 0.000
316 61.538 42.308 61.538 55.128 6.410 0.000 0.000 0.000 0.000 0.000
317 53.846 38.462 57.692 50.000 5.875 0.000 0.000 0.000 0.000 0.000
318 65.385 38.462 61.538 55.128 8.407 0.000 0.000 0.000 0.000 0.000
319 53.846 38.462 69.231 53.846 8.882 0.000 0.000 0.000 0.000 0.000
320 57.692 38.462 46.154 47.436 5.588 0.000 0.000 0.000 0.000 0.000
