#section	x1	y1	z1	apl1	x2	y2	z2	apl2	x3	y3	z3	apl3
161	46.207166	46.207166	133.606075	66.721942	46.321487	46.321487	132.255047	67.052506	45.972103	45.972103	134.488270	66.044821
162	45.734277	45.734277	136.751096	65.363253	46.544269	46.544269	131.537580	67.699030	46.996525	46.996525	128.379973	69.021042
163	45.701921	45.701921	136.395060	65.270798	47.520236	47.520236	126.238166	70.567901	46.760593	46.760593	130.374792	68.329783
164	45.506994	45.506994	137.808439	64.715204	46.619449	46.619449	130.842769	67.917906	46.407064	46.407064	131.765750	67.300487
165	45.346438	45.346438	138.466137	64.259357	45.779554	45.779554	135.474716	65.492735	47.441562	47.441562	126.347532	70.334430
166	45.021810	45.021810	139.928165	63.342605	46.337560	46.337560	132.378546	67.099047	47.291065	47.291065	127.763903	69.888902
167	45.323055	45.323055	138.750104	64.193105	46.962505	46.962505	129.765984	68.921153	47.260516	47.260516	127.645407	69.798637
168	45.410056	45.410056	137.710384	64.439786	46.362310	46.362310	132.234050	67.170742	46.573678	46.573678	130.565489	67.784610
169	44.515822	44.515822	144.131187	61.926826	46.670471	46.670471	130.252179	68.066652	45.622135	45.622135	136.378362	65.043100
170	45.041018	45.041018	140.235917	63.396665	46.538071	46.538071	131.114381	67.681000	45.749526	45.749526	136.473386	65.406847
171	44.943023	44.943023	140.453803	63.121104	45.429748	45.429748	137.626782	64.495687	46.198566	46.198566	133.730308	66.697109
172	45.040571	45.040571	139.302224	63.395408	45.382691	45.382691	138.512784	64.362144	45.655453	45.655453	137.122234	65.138137
173	45.803488	45.803488	135.777803	65.561235	45.242071	45.242071	138.916088	63.963905	45.621861	45.621861	137.239491	65.042319
174	46.721389	46.721389	131.225048	68.215256	44.906780	44.906780	140.958066	63.019340	46.154947	46.154947	133.642627	66.571223
175	46.506041	46.506041	131.219266	67.587869	46.112819	46.112819	134.468107	66.449754	46.180212	46.180212	132.731539	66.644124
176	46.118257	46.118257	134.157211	66.465425	46.262391	46.262391	133.197554	66.881526	46.316821	46.316821	133.251713	67.038996
177	45.287683	45.287683	138.885209	64.092944	46.514558	46.514558	131.107667	67.612628	47.895754	47.895754	123.596164	71.687600
178	46.377016	46.377016	132.692514	67.213363	45.506393	45.506393	136.529692	64.713493	48.163555	48.163555	122.962653	72.491500
179	46.392276	46.392276	132.198896	67.257602	46.193604	46.193604	133.434137	66.682781	47.817289	47.817289	124.408783	71.452909
180	46.200137	46.200137	133.211220	66.701644	46.645882	46.645882	130.599738	67.994946	46.630771	46.630771	130.733130	67.950900
181	46.395368	46.395368	131.374568	67.266568	46.766739	46.766739	130.519017	68.347745	46.983906	46.983906	128.296222	68.983983
182	46.253903	46.253903	133.015936	66.856987	46.950792	46.950792	129.905020	68.886777	46.109671	46.109671	133.735162	66.440679
183	46.813669	46.813669	130.031240	68.484988	46.807651	46.807651	129.518267	68.467380	46.194070	46.194070	133.414331	66.684129
184	46.575261	46.575261	131.120984	67.789217	46.568631	46.568631	130.968766	67.769919	46.625400	46.625400	129.867727	67.935248
185	47.609845	47.609845	125.335296	70.834291	47.560872	47.560872	125.017195	70.688642	46.509584	46.509584	131.808008	67.598169
186	47.008359	47.008359	128.612309	69.055807	46.699587	46.699587	130.284982	68.151608	46.551099	46.551099	131.119674	67.718899
187	46.843324	46.843324	130.137651	68.571781	46.164053	46.164053	133.435361	66.597492	46.033252	46.033252	134.360181	66.220633
188	46.785345	46.785345	130.538514	68.402141	47.362241	47.362241	127.057676	70.099433	45.953136	45.953136	134.221093	65.990336
189	46.568571	46.568571	131.519247	67.769745	46.083645	46.083645	133.405404	66.365697	46.971811	46.971811	129.654339	68.948471
